Trial noise_type coaxial_lum test_lum match_lum grating_freq grating_contrast noise_freq rep
347 global 1.0 0.5 0.493669 .2 0.1 0.58 11
348 global -1.0 0.5 0.501491 .2 0.1 0.58 12
349 global 1.0 0.5 0.500787 .2 0.1 0.58 37
350 global -1.0 0.5 0.498777 .2 0.1 0.58 37
351 global 1.0 0.5 0.504487 .2 0.1 0.58 12
352 global -1.0 0.5 0.502693 .2 0.1 0.58 13
353 global 1.0 0.5 0.509351 .2 0.1 0.58 38
354 global -1.0 0.5 0.508891 .2 0.1 0.58 38
355 global 1.0 0.5 0.502913 .2 0.1 0.58 13
356 global -1.0 0.5 0.487117 .2 0.1 0.58 14
357 global 1.0 0.5 0.505188 .2 0.1 0.58 39
358 global -1.0 0.5 0.503320 .2 0.1 0.58 39
359 global 1.0 0.5 0.488451 .2 0.1 0.58 14
360 global -1.0 0.5 0.506973 .2 0.1 0.58 15
361 global 1.0 0.5 0.498254 .2 0.1 0.58 40
362 global -1.0 0.5 0.497367 .2 0.1 0.58 40
363 global 1.0 0.5 0.508627 .2 0.1 0.58 15
364 global -1.0 0.5 0.495568 .2 0.1 0.58 16
365 global 1.0 0.5 0.501984 .2 0.1 0.58 41
366 global -1.0 0.5 0.499701 .2 0.1 0.58 41
367 global 1.0 0.5 0.495087 .2 0.1 0.58 16
368 global -1.0 0.5 0.494248 .2 0.1 0.58 17
369 global 1.0 0.5 0.500994 .2 0.1 0.58 42
370 global -1.0 0.5 0.500147 .2 0.1 0.58 42
371 global 1.0 0.5 0.494425 .2 0.1 0.58 17
372 global -1.0 0.5 0.497583 .2 0.1 0.58 18
373 global 1.0 0.5 0.502963 .2 0.1 0.58 43
374 global -1.0 0.5 0.502145 .2 0.1 0.58 43
375 global 1.0 0.5 0.499770 .2 0.1 0.58 18
376 global -1.0 0.5 0.506141 .2 0.1 0.58 19
377 global 1.0 0.5 0.495264 .2 0.1 0.58 44
378 global -1.0 0.5 0.493318 .2 0.1 0.58 44
379 global 1.0 0.5 0.509154 .2 0.1 0.58 19
380 global -1.0 0.5 0.498810 .2 0.1 0.58 20
381 global 1.0 0.5 0.490220 .2 0.1 0.58 45
382 global -1.0 0.5 0.489368 .2 0.1 0.58 45
383 global 1.0 0.5 0.501322 .2 0.1 0.58 20
384 global -1.0 0.5 0.504959 .2 0.1 0.58 21
385 global 1.0 0.5 0.507666 .2 0.1 0.58 46
386 global -1.0 0.5 0.505496 .2 0.1 0.58 46
387 global 1.0 0.5 0.505722 .2 0.1 0.58 21
388 global -1.0 0.5 0.511406 .2 0.1 0.58 22
389 global 1.0 0.5 0.496692 .2 0.1 0.58 47
390 global -1.0 0.5 0.493660 .2 0.1 0.58 47
391 global 1.0 0.5 0.511151 .2 0.1 0.58 22
392 global -1.0 0.5 0.491337 .2 0.1 0.58 23
393 global 1.0 0.5 0.499210 .2 0.1 0.58 48
394 global -1.0 0.5 0.497741 .2 0.1 0.58 48
395 global 1.0 0.5 0.492839 .2 0.1 0.58 23
396 global -1.0 0.5 0.499396 .2 0.1 0.58 24
397 global 1.0 0.5 0.491545 .2 0.1 0.58 49
398 global -1.0 0.5 0.490392 .2 0.1 0.58 49
399 global 1.0 0.5 0.499297 .2 0.1 0.58 24
400 global -1.0 0.5 0.496290 .2 0.1 1.00 0
401 global 1.0 0.5 0.499421 .2 0.1 1.00 25
402 global -1.0 0.5 0.498577 .2 0.1 1.00 25
403 global 1.0 0.5 0.496561 .2 0.1 1.00 0
404 global -1.0 0.5 0.504215 .2 0.1 1.00 1
405 global 1.0 0.5 0.506418 .2 0.1 1.00 26
406 global -1.0 0.5 0.504818 .2 0.1 1.00 26
407 global 1.0 0.5 0.504865 .2 0.1 1.00 1
408 global -1.0 0.5 0.502518 .2 0.1 1.00 2
409 global 1.0 0.5 0.497164 .2 0.1 1.00 27
410 global -1.0 0.5 0.496252 .2 0.1 1.00 27
411 global 1.0 0.5 0.502682 .2 0.1 1.00 2
412 global -1.0 0.5 0.504277 .2 0.1 1.00 3
413 global 1.0 0.5 0.494686 .2 0.1 1.00 28
414 global -1.0 0.5 0.494452 .2 0.1 1.00 28
415 global 1.0 0.5 0.505217 .2 0.1 1.00 3
416 global -1.0 0.5 0.498767 .2 0.1 1.00 4
417 global 1.0 0.5 0.496711 .2 0.1 1.00 29
418 global -1.0 0.5 0.495886 .2 0.1 1.00 29
419 global 1.0 0.5 0.498553 .2 0.1 1.00 4
420 global -1.0 0.5 0.502639 .2 0.1 1.00 5
421 global 1.0 0.5 0.500358 .2 0.1 1.00 30
422 global -1.0 0.5 0.500383 .2 0.1 1.00 30
423 global 1.0 0.5 0.505036 .2 0.1 1.00 5
424 global -1.0 0.5 0.494352 .2 0.1 1.00 6
425 global 1.0 0.5 0.500523 .2 0.1 1.00 31
426 global -1.0 0.5 0.500283 .2 0.1 1.00 31
427 global 1.0 0.5 0.495344 .2 0.1 1.00 6
428 global -1.0 0.5 0.498481 .2 0.1 1.00 7
429 global 1.0 0.5 0.502458 .2 0.1 1.00 32
430 global -1.0 0.5 0.501601 .2 0.1 1.00 32
431 global 1.0 0.5 0.499456 .2 0.1 1.00 7
432 global -1.0 0.5 0.497888 .2 0.1 1.00 8
433 global 1.0 0.5 0.504704 .2 0.1 1.00 33
434 global -1.0 0.5 0.504942 .2 0.1 1.00 33
435 global 1.0 0.5 0.498657 .2 0.1 1.00 8
436 global -1.0 0.5 0.497711 .2 0.1 1.00 9
437 global 1.0 0.5 0.500293 .2 0.1 1.00 34
